check_item_category_1_min_diff_next,322
u_day_diffTime_last,257
instance_id,233
context_id,231
i_day_diffTime_last,230
user_id,215
item_category_list_user_prob,207
user_mean_hour,201
user_star_level,197
mean_item_sales_level,196
item_collected_level_salse_prob,195
item_id,195
item_sales_level_mean_by_category_ratio,195
check_item_id_min_diff_next,194
shop_mean_age,189
item_sales_level_mean_by_brand,189
item_sales_level_mean_by_category,188
i_day_diffTime_first,184
shop_score_delivery,183
gender_star,181
item_mean_age,181
item_sales_level_user_age_prob,178
u_day_diffTime_first,175
item_hour_active_user,174
item_sales_level_shop_rev_prob,172
minute,172
item_maphour_cnt_ratio,165
item_pv_level_mean_by_category,165
item_sales_level_item_prob,163
item_hour_cnt_ratio,159
item_mean_hour,157
context_page_id,156
shop_id,152
shop_hour_active_user,152
item_sales_level_mean_by_brand_ratio,149
item_sales_level_mean_by_city_ratio,148
user_id_lasttime_diff,143
item_brand_id,143
item_till_now_cnt,142
item_price_level_mean_by_category,140
item_city_id_user_prob,140
mean_item_collected_level,138
check_item_price_level_min_diff_next,138
item_collected_level_shop_rev_prob,137
item_id_lasttime_diff,137
item_sales_level,135
item_sales_level_shop_prob,135
sale_price,134
brand_mean_age,130
shop_mean_hour,127
check_context_page_id_min_diff_next,124
item_price_level_shop_prob,123
item_brand_id_shop_rev_prob,123
item_sales_level_city_prob,118
item_collected_level_mean_by_brand_ratio,118
item_category_list_user_age_prob,117
item_id_shop_rev_prob,116
item_sales_level_mean_by_city,115
click_user_item_lab,114
item_price_level_city_prob,114
item_pv_level_mean_by_brand_ratio,113
item_id_user_prob,113
shop_till_now_cnt,112
item_pv_level_item_prob,110
item_pv_level_salse_prob,108
brand_mean_hour,108
item_collected_level_item_prob,106
shop_review_num_level_user_prob,105
shop_id_user_gender_prob,105
shop_id_user_age_prob,105
hour,105
item_pv_level_user_prob,104
item_pv_level_shop_prob,102
user_id_query_day_item_category_1,102
item_pv_level_coll_prob,100
item_price_level_user_prob,100
